"cust.ID	age-band 	Debt.To.Income.Ratio",
"10356	30-40	13.71!",
"74944	30-40	27.56!",
"63	30-40	5.24!",
"43623	30-40	18.41!",
"8773	30-40	12.21!",
"76320	30-40	16.08!",
"70800	30-40	25.01!",
"25665	30-40	6.64!",
"74054	30-40	19.16!",
"40139	30-40	12.79!",
"68829	30-40	19.41!",
"14152	30-40	18.41!",
"36134	30-40	20.18!",
"21504	30-40	13.26!",
"95827	30-40	27.96!",
"91018	30-40	19.26!",
"29754	30-40	6.01!",
"94912	30-40	23.27!",
"10205	30-40	2.88!",
"93352	30-40	19.71!",
"6711	30-40	8.12!",
"41102	30-40	15.13!",
"71634	30-40	17.82!",
"66430	30-40	15.56!",
"47163	30-40	12.52!",
"11835	30-40	20.23!",
"91807	30-40	24.8!",
"37065	30-40	12.9!",
"31014	30-40	14.92!",
"79164	30-40	12.51!",
"21164	30-40	13.89!",
"34262	30-40	13.87!",
"61152	30-40	6.84!",
"33968	30-40	8.96!",
"33736	30-40	7.85!",
"10785	30-40	3.41!",
"17655	30-40	17.97!",
"35834	30-40	17.9!",
"33093	30-40	4.9!",
"25703	30-40	14.41!",
"36084	30-40	9.67!",
"95579	30-40	22.15!",
"102314	30-40	3.78!",
"2885	30-40	0.24!",
"86479	30-40	27.59!",
"100985	30-40	8.16!",
"16406	30-40	15.68!",
"35530	30-40	4.25!",
"52814	30-40	15.16!",
"43017	30-40	15.08!",
"66064	30-40	4.37!",
"79495	30-40	25.86!",
"9495	30-40	11.35!",
"3492	30-40	11.71!",
"74163	30-40	21.93!",
"92036	30-40	16.99!",
"33029	30-40	22.99!",
"96208	30-40	7.66!",
"10474	30-40	15.32!",
"90871	30-40	13.81!",
"55934	30-40	17.05!",
"94468	30-40	19.1!",
"3116	30-40	6.76!",
"103248	30-40	10.8!",
"33182	30-40	18.78!",
"90659	30-40	18.16!",
"50924	30-40	19.25!",
"100072	30-40	26.36!",
"2633	30-40	13.77!",
"48402	30-40	12.2!",
"46604		6.92!",
"6908		7.72!",
"97696	35-45	16!",
"60064	35-45	13.74!",
"48006	35-45	22.32!",
"55542	35-45	15.6!",
"31000	35-45	21.3!",
"88646	35-45	17.99!",
"4691	35-45	15.8!",
"53454	35-45	22.19!",
"91765	35-45	33.75!",
"103275	35-45	4.76!",
"68284	35-45	14.77!",
"25680	35-45	20.04!",
"43465	35-45	12.26!",
"75022	35-45	14.95!",
"29942	35-45	7.26!",
"21190	35-45	13.31!",
"29901	35-45	20.18!",
"47168	35-45	14.61!",
"82626	35-45	5.59!",
"80538	35-45	10.01!",
"94971	35-45	10.29!",
"43527	35-45	18.84!",
"97210	35-45	25.89!",
"62663	35-45	12.33!",
"57260	35-45	9.55!",
"66072	35-45	13.85!",
"22289	35-45	23.99!",
"103951	35-45	24.29!",
"71638	35-45	15.56!",
"47002	35-45	12.46!",
"90748	35-45	12.3!",
"92046	35-45	15.61!",
"55755	35-45	2.92!",
"43682	35-45	2.98!",
"93766	35-45	12.19!",
"94582	35-45	11.94!",
"87162	35-45	11.08!",
"81130	35-45	1.98!",
"13216	35-45	14.08!",
"4665	35-45	18.99!",
"6259	35-45	20.38!",
"82160	35-45	24.06!",
"18688	35-45	11.92!",
"34730	35-45	19.97!",
"98930	35-45	23.64!",
"25786	35-45	22.74!",
"19226	35-45	9.37!",
"79198	35-45	20.94!",
"103315	35-45	3.4!",
"95606	35-45	21!",
"76348	35-45	26.44!",
"32146	35-45	17.49!",
"54455	35-45	17.39!",
"83592	35-45	16.56!",
"87108	35-45	28.46!",
"33208	35-45	10.65!",
"10554	35-45	7.73!",
"89809	35-45	10.05!",
"16069	35-45	15.16!",
"23743	35-45	13.82!",
"103394	35-45	12.51!",
"47570	35-45	22.45!",
"80125	35-45	10.84!",
"30035	35-45	18.18!",
"80444	35-45	11.53!",
"56341	35-45	16.54!",
"1316	35-45	13.19!",
"6020	35-45	21.49!",
"8194	35-45	10.11!",
"34695	35-45	19.47!",
"14156	35-45	10.2!",
"21651	35-45	20.15!",
"53465	35-45	24.16!",
"38145	35-45	7.29!",
"28231	35-45	6.79!",
"23644	35-45	19.81!",
"63687	35-45	28.01!",
"36911	35-45	12.54!",
"96564	35-45	32.64!",
"9533	35-45	23.38!",
"24445	35-45	14.66!",
"25800	35-45	18.72!",
