"cust.ID	age-band 	Debt.To.Income.Ratio",
"40727	35-45	9.77!",
"90332	35-45	18.1!",
"50596	35-45	13.94!",
"28055	35-45	23.44!",
"60220	35-45	6.3!",
"9367	35-45	13.38!",
"79022	35-45	15.09!",
"3031	35-45	12.21!",
"43436	35-45	20.49!",
"45519	35-45	15.12!",
"52543	35-45	6.43!",
"80208	35-45	15.45!",
"94092	35-45	7.15!",
"98272	35-45	10.27!",
"100424	35-45	29.19!",
"25084	35-45	24.78!",
"100140	35-45	26.33!",
"21657	35-45	12.06!",
"4841	35-45	22.93!",
"46748	35-45	24.71!",
"32340	35-45	19.25!",
"33161	35-45	16.62!",
"88438	35-45	26.18!",
"16215	35-45	0.94!",
"95455	35-45	18.66!",
"11132	35-45	10.93!",
"104202	35-45	2.38!",
"42760	35-45	20.07!",
"23197	35-45	9.66!",
"5367	35-45	12.7!",
"76489	35-45	9.31!",
"42306	35-45	15.6!",
"59159	35-45	21.32!",
"12131	35-45	21.89!",
"57431	35-45	25.59!",
"45793	35-45	8.91!",
"49473	35-45	14.26!",
"71783	35-45	17.11!",
"1766	35-45	14.15!",
"15543	35-45	17.68!",
"57788	35-45	20.77!",
"65788	35-45	13.94!",
"5189	35-45	8.02!",
"16032	35-45	12.92!",
"55625	35-45	11.12!",
"77578	35-45	11.98!",
"74257	35-45	24.85!",
"39713	35-45	24.14!",
"74506	35-45	12.46!",
"42455	35-45	26.65!",
"81950	35-45	22.84!",
"11625	35-45	4.16!",
"85618	35-45	29.02!",
"17955	35-45	1.69!",
"17924	35-45	9.72!",
"83794	35-45	29.58!",
"42772	35-45	20.75!",
"99065	35-45	14.88!",
"43702	35-45	5.87!",
"64440	35-45	22.1!",
"31190	35-45	7.15!",
"45317	35-45	24.74!",
"59724	35-45	15.33!",
"39722	35-45	14.8!",
"25380	35-45	18.48!",
"62011	35-45	7.64!",
"29422	35-45	21.94!",
"90568	35-45	10.42!",
"26195	35-45	14.32!",
"14340	35-45	16.61!",
"10721	35-45	8!",
"25236	35-45	18.78!",
"29794	35-45	20.21!",
"6084	35-45	13.27!",
"33046	35-45	14.66!",
"95489	35-45	19.17!",
"12932	35-45	10.74!",
"2007	35-45	2.77!",
"17826	35-45	17.05!",
"1364	35-45	17.72!",
"103353	35-45	13.98!",
"10206	35-45	14.57!",
"31004	35-45	26.38!",
"101622	35-45	10.23!",
"3660	35-45	19.63!",
"17850	35-45	13.4!",
"94192	35-45	29.83!",
"68503	35-45	8.16!",
"96704	35-45	12.96!",
"73526	35-45	15.09!",
"56595	35-45	12.23!",
"5282	35-45	17.08!",
"42953	35-45	24.14!",
"31098	35-45	1.51!",
"53041	35-45	13.03!",
"104001	35-45	7.06!",
"41109	35-45	16.61!",
"6143	35-45	15.2!",
"102079	35-45	25.67!",
"24846	35-45	19.68!",
"91245	35-45	7.92!",
"33228	35-45	15.74!",
"67401	35-45	26.84!",
"23766	35-45	4.19!",
"43703	35-45	18.28!",
"101647	35-45	19.85!",
"52708	35-45	9.3!",
"92077	35-45	26.5!",
"79907	35-45	20.93!",
"42228	35-45	1.05!",
"70270	35-45	9.81!",
"71782	35-45	28.29!",
"76662	35-45	8.04!",
"40879	35-45	3.47!",
"36760	35-45	16.85!",
"28402	35-45	13.58!",
"47416	35-45	19.48!",
"132	35-45	16.39!",
"15717	35-45	14.11!",
"92743	35-45	30.61!",
"39128	35-45	5.36!",
"28534	35-45	17.7!",
"71671	35-45	7.77!",
"797	35-45	6.25!",
"24426	35-45	24.43!",
"94507	35-45	14.22!",
"37177	35-45	23.54!",
"2805	35-45	18.95!",
"21716	35-45	8.96!",
"88396	35-45	19.9!",
"67863	35-45	18.23!",
"32694	35-45	3.83!",
"19831	35-45	9.59!",
"52061	35-45	21.88!",
"48009	35-45	3.04!",
"4502	35-45	8.12!",
"58739	35-45	21.54!",
"7007	35-45	14.99!",
"65978	35-45	17.08!",
"30137	35-45	16.16!",
"39989	35-45	15.74!",
"80246	35-45	9.15!",
"5073	35-45	11.91!",
"74037	35-45	28.15!",
"93374	35-45	22.65!",
"103218	35-45	14.5!",
"98051	35-45	16.73!",
"13309	35-45	0.53!",
"64166	35-45	16.47!",
"60190	35-45	8.38!",
"60947	35-45	12.68!",
"23446	35-45	11.95!",
"39602	35-45	24.88!",
"54513	35-45	17.89!",
"75634	35-45	10.4!",
"57704	35-45	15.88!",
"17143	35-45	16.45!",
"91639	35-45	22.32!",
"101246	35-45	18.91!",
"84394	35-45	21.33!",
"68824	35-45	32.91!",
"48243	35-45	17.01!",
"96051	35-45	24.24!",
"37095	35-45	21.42!",
"19661	35-45	8.92!",
"77559	35-45	18.36!",
"101540	35-45	13.16!",
"80094	35-45	12.41!",
"20801	35-45	10.4!",
"1031	35-45	16.29!",
"44737	35-45	20.73!",
"14754	35-45	15.21!",
"2425	35-45	4.62!",
"14231	35-45	22.2!",
"80071	35-45	14.49!",
"25141	35-45	22.69!",
"85468	35-45	11.84!",
"60117	35-45	5.84!",
"63810	35-45	19.28!",
"32893	35-45	3.05!",
"92631	35-45	11.77!",
"57235	35-45	32.19!",
"44650	35-45	10.42!",
"51302	35-45	9.46!",
"12350	35-45	17.91!",
"97353	35-45	28.74!",
"20328	35-45	13.65!",
"87110	35-45	8.72!",
"12429	35-45	12.54!",
"4799	35-45	6.65!",
"2074	35-45	2.68!",
"3025	35-45	11.07!",
"78602	35-45	18.62!",
"90988	35-45	24.57!",
"62089	35-45	18.15!",
"15120	35-45	20.11!",
"18452	35-45	15!",
"16291	35-45	20.16!",
"37504	35-45	7.15!",
"101403	35-45	28.46!",
"92367	35-45	18.28!",
"26312	35-45	4.51!",
"65280	35-45	11.8!",
"80138	35-45	27.74!",
"22858	35-45	13.3!",
"19675	35-45	1.23!",
"54274	35-45	7.9!",
"72532	35-45	24.88!",
"37814	35-45	15.71!",
"68301	35-45	22.22!",
"72589	35-45	10.75!",
"85893	35-45	31.7!",
"62203	35-45	9.84!",
"83155	35-45	11.85!",
"66437	35-45	21.35!",
"16057	35-45	20.5!",
"91596	35-45	5.3!",
"73863	35-45	33.67!",
"64419	35-45	17.58!",
"101061	35-45	17.15!",
"91738	35-45	14.88!",
"2577	35-45	1.06!",
"20690	35-45	6.58!",
"92344	35-45	16.22!",
"48620	35-45	17.88!",
"15427	35-45	12.54!",
"96479	35-45	8.44!",
"60684	35-45	31.7!",
"28305	35-45	16.71!",
"47468	35-45	5.95!",
"82294	35-45	11.85!",
"2791	35-45	0.04!",
"90687	35-45	17.76!",
"92975	35-45	18.37!",
"75518	35-45	17.97!",
"48980	35-45	27.06!",
"48342	35-45	18.24!",
"101891	35-45	21.28!",
"89677	35-45	26.03!",
"46841	35-45	20.87!",
"46337	35-45	12.9!",
"19091	35-45	17.63!",
"4921	35-45	7.96!",
"103140	35-45	24.41!",
"43936	35-45	11.05!",
"77444	35-45	27.72!",
"70210	35-45	12.15!",
"17832	35-45	15.42!",
"51525	35-45	14.11!",
"69651	35-45	25.87!",
"103224	35-45	6.36!",
"49409	35-45	24.05!",
"5299	35-45	19.83!",
"62644	35-45	24.48!",
"58987	35-45	8.9!",
"22790	35-45	16.53!",
"15949	35-45	2.63!",
"14193	35-45	6.72!",
"50398	35-45	21.42!",
"95096	35-45	21.25!",
"98758	35-45	28.28!",
"28976	35-45	7.68!",
"32684	35-45	18.33!",
"23735	35-45	19.23!",
"72931	35-45	25.8!",
"40381	35-45	6.98!",
"61873	35-45	17.47!",
"86532	35-45	1.41!",
"45115	35-45	20.67!",
"41626	35-45	15.34!",
"81759	35-45	11.38!",
"83704	35-45	7.85!",
"100221	35-45	21.92!",
"26354	35-45	13.07!",
"78288	35-45	19.62!",
"76503	35-45	22.95!",
"57551	35-45	27.23!",
"53112	35-45	15.97!",
"6717	35-45	15.1!",
"4545	35-45	23.07!",
"31343	35-45	14.44!",
"59083	35-45	11.39!",
"13413	35-45	19.94!",
"17217	35-45	22.41!",
"2834	35-45	13.62!",
"74496	35-45	16.8!",
"62353	35-45	7.33!",
"61831	35-45	18.38!",
"84265	35-45	7.1!",
"54017	35-45	22.36!",
"40866	35-45	24.53!",
"51833	35-45	10.43!",
"62824	35-45	26.42!",
"48624	35-45	23.24!",
"28315	35-45	3.31!",
"50956	35-45	11.52!",
"39482	35-45	23.84!",
"51829	35-45	21.58!",
"80359	35-45	10.97!",
"90912	35-45	33.23!",
"20709	35-45	16.49!",
"19859	35-45	13.98!",
"8424	35-45	8.34!",
"94981	35-45	2.95!",
"57080	35-45	18.62!",
"56778	35-45	22.61!",
"10006	35-45	13.42!",
"92016	35-45	19.55!",
"17731	35-45	22.09!",
"7967	35-45	5.44!",
"59388	35-45	18.3!",
"41741	35-45	21.18!",
"57199	35-45	24.97!",
"39115	35-45	17.48!",
"32517	35-45	7.23!",
"78960	35-45	5.83!",
"61720	35-45	23.06!",
"91073	35-45	26.08!",
"84215	35-45	16.7!",
"10825	35-45	21.59!",
"48519	35-45	11.46!",
"80302	35-45	3.34!",
"62778	35-45	13.74!",
"17370	35-45	2.25!",
"93723	35-45	12.69!",
"35299	35-45	21.45!",
"23377	35-45	24.36!",
"65600	35-45	28.51!",
"54229	35-45	16.39!",
"18161	35-45	7.68!",
"103874	35-45	14.86!",
"26033	35-45	12.1!",
"86953	35-45	9.71!",
"29365	35-45	12.98!",
"55177	35-45	23.5!",
"34627	35-45	2.5!",
"62057	35-45	10.86!",
"62127	35-45	17.72!",
"98980	35-45	24.93!",
"82476	35-45	10.59!",
"35460	35-45	5.85!",
"82419	35-45	28.2!",
"103801	35-45	15.82!",
"76286	35-45	15.33!",
"27575	35-45	6.64!",
"36061	35-45	5.31!",
"78139	35-45	14.68!",
"62270	35-45	19.38!",
"58433	35-45	1.83!",
"2823	35-45	18.46!",
"71249	35-45	27.48!",
"19598	35-45	18.61!",
"84738	35-45	22.01!",
"89012	35-45	25.53!",
"78680	35-45	18.62!",
"35991	35-45	14.25!",
"79948	35-45	11.68!",
"86599	35-45	14.92!",
"49782	35-45	12.6!",
"5906	35-45	0.18!",
"50339	35-45	8.29!",
"3079	35-45	16.94!",
"65957	35-45	25.41!",
"96928	35-45	12.2!",
"30378	35-45	1.58!",
"32310	35-45	14.9!",
"2947	35-45	19.38!",
"38576	35-45	16.66!",
"62996	35-45	19.85!",
"47705	35-45	21.95!",
"100662	35-45	11.74!",
"93296	35-45	8.05!",
"82729	35-45	11.93!",
"92773	35-45	19.01!",
"41195	35-45	4.39!",
"97449	35-45	18.95!",
"66424	35-45	20.58!",
"27919	35-45	16.64!",
"51025	35-45	1.28!",
"46016	35-45	10.29!",
"54076	35-45	15.42!",
"14952	35-45	17.97!",
"93742	35-45	5.82!",
"70648	35-45	19.6!",
"35351	35-45	1.34!",
"16577	35-45	19.65!",
"14887	35-45	14.41!",
"66550	35-45	15.68!",
"12277	35-45	18.72!",
"24085	35-45	14.07!",
"34551	35-45	16.26!",
"76797	35-45	8.52!",
"103622	35-45	17.8!",
"79725	35-45	12.83!",
"69741	35-45	4.53!",
"72641	35-45	27.5!",
"97275	35-45	17.61!",
"85509	35-45	24.01!",
"90826	35-45	16.09!",
"13809	35-45	24.88!",
"22090	35-45	14.7!",
"43071	35-45	13.99!",
"8051	35-45	24.64!",
"27415	35-45	16.84!",
"82746	35-45	10.76!",
"95522	35-45	14.82!",
"70785	35-45	30.46!",
"47887	35-45	12.85!",
"39996	35-45	9.73!",
"53930	35-45	20.89!",
"44836	35-45	6.24!",
"38774	35-45	11.85!",
"77919	35-45	29.38!",
"16680	35-45	15.86!",
"9618	35-45	19.27!",
"88332	35-45	19.21!",
"97264	35-45	24.04!",
"67349	35-45	4.32!",
"104166	35-45	6.29!",
"75525	35-45	34.88!",
"78827	35-45	16.75!",
"83373	35-45	33.64!",
"73881	35-45	22.67!",
"92954	35-45	22.76!",
"94839	35-45	19.61!",
"14108	35-45	15.88!",
"50756	35-45	22.66!",
"102226	35-45	9.67!",
"98972	35-45	22.65!",
"83422	35-45	20.07!",
"20772	35-45	4.81!",
"33500	35-45	16.2!",
"84001	35-45	23.88!",
"101612	35-45	2.38!",
"71751	35-45	32.91!",
"60832	35-45	21.74!",
"83786	35-45	7.94!",
"15383	35-45	12.39!",
"20433	35-45	17.96!",
"694	35-45	5.91!",
"40081	35-45	28.75!",
"103708	35-45	23.95!",
"10264	35-45	19.22!",
"9928	35-45	5.72!",
"94795	35-45	20.58!",
"51394	35-45	3.16!",
"38378	35-45	24.85!",
"87148	35-45	10.12!",
"6045	35-45	17.65!",
"102308	35-45	20.76!",
"62160	35-45	22.87!",
"23686	35-45	20.82!",
"24517	35-45	14.34!",
"77673	35-45	22.98!",
"2987	35-45	8.34!",
"72764	35-45	19.13!",
"40357	35-45	15.58!",
"73060	35-45	13.88!",
"74445	35-45	14.18!",
"26087	35-45	9.68!",
"70412	35-45	16.17!",
"40753	35-45	16.46!",
"15197	35-45	16.26!",
"85461	35-45	11.23!",
"89473	35-45	15.43!",
"89683	35-45	14.48!",
"80198	35-45	29.13!",
"102503	35-45	9.14!",
"59807	35-45	14.61!",
"26877	35-45	10.73!",
"81422	35-45	17.36!",
"86201	35-45	14.87!",
"6611	35-45	18.81!",
"14851	35-45	6.19!",
"94183	35-45	23.37!",
"31200	35-45	5.7!",
"20467	35-45	4.7!",
"4587	35-45	18.07!",
"60833	35-45	30.82!",
"55180	35-45	19.43!",
"8626	35-45	19.23!",
"56446	35-45	23.6!",
"64339	35-45	27.25!",
"76078	35-45	30.56!",
"71268	35-45	21.82!",
"77240	35-45	15.79!",
"74320	35-45	26.14!",
"66454	35-45	13!",
"96413	35-45	4.99!",
"38492	35-45	24.02!",
"47745	35-45	20.13!",
"69983	35-45	24.69!",
"44282	35-45	18.75!",
"25600	35-45	16.23!",
"13609	35-45	23.03!",
"68821	35-45	28.25!",
"3508	35-45	2.55!",
"101596	35-45	1!",
"45453	35-45	24.42!",
"24980	35-45	18.14!",
"80904	35-45	21.83!",
"47958	35-45	28.82!",
"83906	35-45	16.15!",
"22718	35-45	5.47!",
"82406	35-45	7.57!",
"47896	35-45	3.67!",
"39867	35-45	13.41!",
"71136	35-45	27.78!",
"19548	35-45	1.97!",
"1677	35-45	13.29!",
"27623	35-45	17.12!",
"22510	35-45	24.3!",
"2746	35-45	4.62!",
"39468	35-45	15.6!",
"87150	35-45	13.93!",
"50602	35-45	24.66!",
"28574	35-45	16.45!",
"56604	35-45	17.76!",
"85644	35-45	9.3!",
"44394	35-45	17.9!",
"101205	35-45	8.14!",
"103405	35-45	11.5!",
"22315	35-45	1.68!",
"98029	35-45	8.36!",
"65113	35-45	31.45!",
"60512	35-45	15.68!",
"87571	35-45	9.7!",
"98428	35-45	28.84!",
"29116	35-45	24.85!",
"43487	35-45	19.33!",
"46458	35-45	22.7!",
"92038	35-45	29.03!",
"63651	35-45	9.73!",
"94514	35-45	15.1!",
"34282	35-45	4.47!",
"66425	35-45	25.76!",
"69300	35-45	8.45!",
"24038	35-45	19.27!",
"22259	35-45	13.96!",
"85686	35-45	14.76!",
"84476	35-45	27.65!",
"101515	35-45	10!",
"71766	35-45	32!",
"59277	35-45	23.58!",
"82223	35-45	24.9!",
"33095	35-45	14.36!",
"43203	35-45	3.63!",
"74186	35-45	10.53!",
"91562	35-45	5.98!",
"21688	35-45	4.17!",
"53042	35-45	16.69!",
"83773	35-45	26.29!",
"62753	35-45	9.99!",
"91853	35-45	13.55!",
"89378	35-45	27.28!",
"35740	35-45	1.08!",
"99247	35-45	11.02!",
"24454	35-45	2.15!",
"31943	35-45	8.62!",
"30560	35-45	9.4!",
"49263	35-45	15.82!",
"11875	35-45	1.82!",
"62035	35-45	18.44!",
"65041	35-45	1.43!",
"40616	!35-45 	9.73!",
"55999	""45","50""	9.09!"
"28276	45-55	10.3!",
"70001	45-55	20.32!",
"57586	45-55	11.34!",
"7173	45-55	12.58!",
"13279	45-55	11.72!",
"81914	45-55	24.5!",
"95994	45-55	17.37!",
"45033	45-55	16.66!",
"35596	45-55	15.55!",
"49985	45-55	10.32!",
"30756	45-55	7.45!",
"89741	45-55	9.86!",
"76324	45-55	22.93!",
"18447	45-55	9.67!",
"50389	45-55	21.31!",
"79363	45-55	25.77!",
"49074	45-55	22.42!",
"56692	45-55	7.32!",
"363	45-55	6.31!",
"48581	45-55	15.46!",
"1340	45-55	20.91!",
"84644	45-55	10.21!",
"38540	45-55	17.32!",
"54710	45-55	9.57!",
"58027	45-55	13.44!",
"35682	45-55	18.08!",
"52860	45-55	19.36!",
"42374	45-55	23.69!",
"84317	45-55	12.02!",
"54289	45-55	19.06!",
"47673	45-55	20.95!",
"6528	45-55	21.77!",
"3320	45-55	7.23!",
"87968	45-55	15.96!",
"59190	45-55	21.34!",
"44163	45-55	5.76!",
"37090	45-55	12.19!",
"77043	45-55	11.08!",
"63299	45-55	21.74!",
"66360	45-55	20.1!",
"22982	45-55	16.98!",
"70285	45-55	9.93!",
"19961	45-55	15.97!",
"91669	45-55	16.18!",
"31787	45-55	3.27!",
"92839	45-55	23.62!",
"45527	45-55	8.4!",
"27693	45-55	10.41!",
"54487	45-55	0.26!",
"26919	45-55	12.19!",
"38833	45-55	11.7!",
"11723	45-55	15.91!",
"29547	45-55	21.16!",
"60969	45-55	26.11!",
"15825	45-55	14.3!",
"40066	45-55	10.77!",
"93022	45-55	9.96!",
"15351	45-55	11.52!",
"40136	45-55	18.21!",
"78856	45-55	20.75!",
"83749	45-55	13.72!",
"41190	45-55	10.98!",
"86233	45-55	14.13!",
"103215	45-55	17.79!",
"7789	45-55	19.02!",
"42124	45-55	8.4!",
"93394	45-55	29.63!",
"76693	45-55	14.62!",
"7880	45-55	9.26!",
"66605	45-55	34.2!",
"101065	45-55	13.3!",
"104008	45-55	17.65!",
"101568	45-55	19.3!",
"20698	45-55	22.69!",
"56271	45-55	3.41!",
"78862	45-55	4.29!",
"12114	45-55	9.6!",
"92524	45-55	19.2!",
"49573	45-55	4.91!",
"66184	45-55	3.88!",
"43444	45-55	24.06!",
"15704	45-55	11.22!",
"11376	45-55	11.99!",
"57677	45-55	12.98!",
"31960	45-55	21.52!",
"38432	45-55	19.15!",
"47048	45-55	8.05!",
"41589	45-55	23.35!",
"42032	45-55	12.54!",
"70987	45-55	20.7!",
"97560	45-55	27.13!",
"13996	45-55	19.1!",
"25993	45-55	15.35!",
"48955	45-55	17.95!",
"29200	45-55	28.35!",
"27832	45-55	7.96!",
"37906	45-55	5.98!",
"44672	45-55	11.2!",
"16524	45-55	2.63!",
"83857	45-55	16.33!",
"36466	45-55	9.75!",
"58263	45-55	16.92!",
"78732	45-55	10.94!",
"32181	45-55	2.18!",
"69095	45-55	17.1!",
"78588	45-55	22.83!",
"18942	45-55	22.74!",
"97487	45-55	24.41!",
"48489	45-55	11.24!",
"96709	45-55	7.59!",
"83807	45-55	8.01!",
"76355	45-55	16.93!",
"35935	45-55	28.77!",
"57425	45-55	19.63!",
"25674	45-55	17.45!",
"69724	45-55	24.22!",
"18933	45-55	22.74!",
"13096	45-55	6.86!",
"10819	45-55	16.38!",
"15213	45-55	12.36!",
"78336	45-55	19.13!",
"40840	45-55	16.44!",
"101034	45-55	20.54!",
"51163	45-55	19.93!",
"32215	45-55	11.41!",
"84582	45-55	23.34!",
"65121	45-55	16.24!",
"51948	45-55	12.82!",
"10917	45-55	6.61!",
"72072	45-55	12.36!",
"49761	45-55	18.67!",
"50231	45-55	23.18!",
"45222	45-55	17.19!",
"19328	45-55	13.34!",
"66149	45-55	4.58!",
"23944	45-55	8.93!",
"24608	45-55	16.2!",
"3178	45-55	22.32!",
"93711	45-55	13.32!",
"75034	45-55	19.6!",
"31254	45-55	13.69!",
"39591	45-55	7.98!",
"70589	45-55	29.38!",
"17664	45-55	12.27!",
"41198	45-55	21.66!",
"17016	45-55	10.27!",
"89068	45-55	25.86!",
"76404	45-55	26.92!",
"94245	45-55	21.75!",
"30441	45-55	8.15!",
"11304	45-55	10.38!",
"31815	45-55	2.54!",
"16023	45-55	15.82!",
"34501	45-55	9.47!",
"8291	45-55	21.44!",
"40971	45-55	6.07!",
"95637	45-55	8.31!",
"37228	45-55	13.56!",
"77987	45-55	29.25!",
"3755	45-55	23.75!",
"16996	45-55	8.49!",
"72217	45-55	18.36!",
"60625	45-55	29.46!",
"66892	45-55	17.21!",
"34122	45-55	16.15!",
"93501	45-55	6.04!",
"94386	45-55	28.61!",
"71489	45-55	12.06!",
"32974	45-55	3.12!",
"4730	45-55	12.92!",
"48854	45-55	9.12!",
"66528	45-55	20.69!",
"102010	45-55	8.2!",
"46421	45-55	19.46!",
"71758	45-55	13!",
"31654	45-55	3.12!",
"62867	45-55	15.92!",
"80231	45-55	9.76!",
"41739	45-55	21.98!",
"40127	45-55	5.93!",
"33923	45-55	13.17!",
"92186	45-55	14.22!",
"82091	45-55	23.62!",
"79400	45-55	17.79!",
"13069	45-55	22.47!",
"14434	45-55	20.59!",
"13412	45-55	8.06!",
"69014	45-55	33.8!",
"49956	45-55	15.14!",
"6466	45-55	4.79!",
"10852	45-55	13.87!",
"7558	45-55	7.49!",
"55042	45-55	14.36!",
"50673	45-55	22.35!",
"51087	45-55	14.08!",
"40351	45-55	14.05!",
"11174	45-55	20.15!",
"41948	45-55	10.93!",
"18512	45-55	22.31!",
"73194	45-55	24.23!",
"5794	45-55	15.6!",
"11953	45-55	7.88!",
"56056	45-55	22.57!",
"53652	45-55	17.31!",
"85685	45-55	11.18!",
"73773	45-55	22.93!",
"72356	45-55	10.35!",
"35260	45-55	22.49!",
"27901	45-55	13.48!",
"16346	45-55	9.18!",
"73961	45-55	24.77!",
"10487	45-55	14.51!",
"3532	45-55	2.89!",
"73164	45-55	21.47!",
"57072	45-55	31.2!",
"57593	45-55	5.64!",
"67373	45-55	20.72!",
"78043	45-55	15.88!",
"68628	45-55	17.44!",
"34996	45-55	2.92!",
"98156	45-55	5.3!",
"53853	45-55	3.45!",
"78078	45-55	20.18!",
"98954	45-55	29.05!",
"12157	45-55	20.76!",
"70028	45-55	26.62!",
"45094	45-55	19.89!",
"13652	45-55	22.63!",
"73741	45-55	12.78!",
"39314	45-55	13.3!",
"48636	45-55	5.52!",
"42253	45-55	15.41!",
"61049	45-55	7.56!",
"22637	45-55	0!",
"40756	45-55	2.21!",
"60695	45-55	27.32!",
"41813	45-55	22.38!",
"49664	45-55	8.62!",
"81788	45-55	13.61!",
"72251	45-55	17.37!",
"26424	45-55	3.44!",
"48235	45-55	19.05!",
"98090	45-55	21.32!",
"47597	45-55	14.62!",
"33997	45-55	23.69!",
"384	45-55	22.57!",
"6263	45-55	10.69!",
"51742	45-55	21.36!",
"38247	45-55	9.58!",
"30210	45-55	3.18!",
"41267	45-55	1.59!",
"47286	45-55	16.02!",
"35468	45-55	20.96!",
"16446	45-55	19.12!",
"13054	45-55	18.5!",
"14118	45-55	20.09!",
"34644	45-55	18.45!",
"12788	45-55	5.21!",
"81395	45-55	14.32!",
"61493	45-55	5.8!",
"1173	45-55	6.36!",
"39792	45-55	7.38!",
"10096	45-55	24.2!",
"19581	45-55	23.63!",
"89139	45-55	15.74!",
"87504	45-55	12!",
"599	45-55	21.94!",
"3204	45-55	13.78!",
"98277	45-55	32.95!",
"33055	45-55	1.02!",
"103989	45-55	23.35!",
"46027	45-55	24.82!",
"28808	45-55	8.23!",
"41417	45-55	4.56!",
"24516	45-55	14.85!",
"36929	45-55	17.76!",
"7953	45-55	9.47!",
"71008	45-55	26.98!",
"73287	45-55	32.13!",
"46245	45-55	19.48!",
"26323	45-55	20.21!",
"68857	45-55	15.88!",
"36889	45-55	7.89!",
"3893	45-55	17.94!",
"24044	45-55	21.33!",
"28812	45-55	2.86!",
"97462	45-55	19.78!",
"6326	45-55	1.41!",
"88522	45-55	23.69!",
"35796	45-55	11.73!",
"2178	45-55	15.47!",
"49201	45-55	10.32!",
"83847	45-55	4.08!",
"81514	45-55	27.64!",
"47422	45-55	20.93!",
"80512	45-55	10.08!",
"68987	45-55	20.52!",
"79217	45-55	15.7!",
"73233	45-55	17.78!",
"21993	45-55	3.3!",
"6039	45-55	12.7!",
"94925	45-55	5.28!",
"70905	45-55	27.47!",
"53284	45-55	20.52!",
"18017	45-55	14.85!",
"76858	45-55	27.6!",
"27371	45-55	20.52!",
"17242	45-55	13.5!",
"32654	45-55	10.12!",
"4532	45-55	14.4!",
"11819	45-55	9.74!",
"52255	45-55	17.16!",
"79704	45-55	11.48!",
"74460	45-55	25.07!",
"42255	45-55	4.1!",
"76842	45-55	1.78!",
"51429	45-55	9.75!",
"21036	45-55	9.14!",
"14355	45-55	16.78!",
"70571	45-55	20.48!",
"54656	45-55	21.2!",
"82788	45-55	27.14!",
"94081	45-55	21.61!",
"56385	45-55	17.88!",
"34472	45-55	15.8!",
"73201	45-55	17.17!",
"45828	45-55	21.28!",
"61500	45-55	3.94!",
"27486	45-55	7.5!",
"27552	45-55	14.69!",
"85918	45-55	7.97!",
"47960	45-55	9.03!",
"60580	45-55	10.1!",
"53271	45-55	8.03!",
"68850	45-55	17.58!",
"95536	45-55	28.91!",
"31876	45-55	6.94!",
"82804	45-55	18.99!",
"33010	45-55	18.86!",
"48498	45-55	20.87!",
"78104	45-55	21.73!",
"24376	45-55	6.83!",
"93318	45-55	19.29!",
"88361	45-55	10.86!",
"9664	45-55	14.74!",
"50460	45-55	24.09!",
"5821	45-55	9.07!",
"102514	45-55	18.91!",
"4843	45-55	13.73!",
"49539	45-55	15.55!",
"26914	45-55	27.92!",
"41993	45-55	11.8!",
"17236	45-55	17.29!",
"54428	45-55	8.08!",
"53002	45-55	12.79!",
"49950	45-55	1.63!",
"49712	45-55	6.75!",
"75159	45-55	25.7!",
"102309	45-55	23.04!",
"98544	45-55	5.07!",
"34871	45-55	9.57!",
"53046	45-55	17.79!",
"8378	45-55	7.51!",
"43700	45-55	2!",
"97076	45-55	15.42!",
"15094	45-55	11.4!",
"49367	45-55	17.9!",
"38892	45-55	14.95!",
"33269	45-55	17!",
"99766	45-55	22.21!",
"16672	45-55	17.41!",
"85216	45-55	10.94!",
"70427	45-55	21.98!",
"51795	45-55	NA",
"28764	45-55	11.29!",
"16900	45-55	19.07!",
"20329	45-55	22.1!",
"79611	45-55	11.18!",
"41977	45-55	15.2!",
"19344	45-55	8.08!",
"74368	45-55	12.54!",
"52759	45-55	1.73!",
"82216	45-55	13.59!",
"59117	45-55	27.14!",
"74097	45-55	24.21!",
"33148	45-55	4.75!",
"51810	45-55	18.92!",
"83646	45-55	21.34!",
"76173	45-55	31.79!",
"89438	45-55	22.38!",
"30255	45-55	18.57!",
"71531	45-55	7.55!",
"82722	45-55	6.28!",
"102519	45-55	11.41!",
"32747	45-55	13.45!",
"17	45-55	3!",
"89837	45-55	16.29!",
"43260	45-55	17.96!",
"28663	45-55	23.41!",
"96659	45-55	10.16!",
"87554	45-55	29.46!",
"34411	45-55	5.01!",
"96028	45-55	15.72!",
"79282	45-55	20.96!",
"80129	45-55	12.27!",
"13386	45-55	16.66!",
"99914	45-55	20.34!",
"59272	45-55	8.69!",
"23437	45-55	14.08!",
"15510	45-55	15.69!",
"4227	45-55	3.72!",
"94950	45-55	20.06!",
"91394	45-55	12.78!",
"51257	45-55	23.35!",
"22561	45-55	17.15!",
"33667	45-55	14.59!",
"74764	45-55	20.56!",
"24320	45-55	19.57!",
"15867	45-55	7.1!",
"30817	45-55	8.96!",
"54010	45-55	7.82!",
"78792	45-55	30.77!",
"925	45-55	8.11!",
"7518	45-55	16.42!",
"30138	45-55	17.97!",
"57169	45-55	27.69!",
"73232	45-55	27.76!",
"102637	45-55	12.7!",
"49403	45-55	20.77!",
"17157	45-55	11.95!",
"103948	45-55	17.86!",
"51812	45-55	28.25!",
"1324	45-55	10.74!",
"59387	45-55	18.18!",
